,title,original_language,popularity,vote_count,vote_average
484,There's Someone Inside Your House,en,105.046,347,5.6
485,Rampage,en,105.979,5705,6.5
486,The Lost Daughter,en,137.04,326,6.6
487,The King of Fighters,en,126.645,103,4.9
488,Captain America: The First Avenger,en,119.588,18123,7.0
489,Spirit: Stallion of the Cimarron,en,123.252,3710,7.7
490,Parallel Mothers,es,135.422,289,6.8
491,Annette,en,123.895,371,7.0
492,The Flu,ko,120.042,930,7.5
493,Boiling Point,en,119.706,58,7.2
494,Euphoria,en,145.261,91,6.5
495,John Wick: Chapter 2,en,122.516,9899,7.3
496,Jujutsu Kaisen 0,ja,134.275,10,7.6
497,Jurassic World: Fallen Kingdom,en,123.652,9556,6.6
498,G.I. Joe: The Rise of Cobra,en,116.583,3819,5.8
499,La Llorona,es,114.328,237,6.5
500,The Twilight Saga: Breaking Dawn - Part 1,en,127.725,7383,6.2
501,Swan Song,en,115.495,202,7.4
502,Rock Dog 2: Rock Around the Park,en,118.753,61,7.2
503,Jurassic World,en,111.748,17644,6.7
504,August Never Ends,zh,118.433,1,2.0
505,Dragon Ball GT: A Hero's Legacy,ja,113.526,225,6.7
506,Scream,en,119.206,4844,7.3
507,Dreamcatcher,en,107.983,80,6.2
508,Psycho-Pass 3: First Inspector,ja,121.1,53,7.7
509,Grumpy Christmas,es,103.853,52,7.5
510,Yu-Gi-Oh!: The Dark Side of Dimensions,ja,117.165,257,7.5
511,Monkey King: Hero Is Back,zh,119.894,165,7.1
512,The Pilgrim's Progress,en,115.666,59,7.9
513,No Manches Frida 2,es,112.368,670,8.1
514,Central Intelligence,en,85.036,4738,6.4
515,Trollhunters: Rise of the Titans,en,114.665,223,7.9
516,Night Teeth,en,115.632,462,6.6
517,Just Go with It,en,114.31,4562,6.6
518,Tangled,en,119.484,9159,7.6
519,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),en,120.333,8514,7.0
520,A Boy Called Christmas,en,107.147,412,7.6
521,The Funeral Home,es,101.483,19,4.4
522,Attack on Titan,ja,121.061,540,5.9
523,Scream 4,en,102.292,2539,6.4
524,The Virtuoso,en,113.797,219,6.3
525,Aquaslash,en,105.198,97,4.1
526,Southpaw,en,118.605,4618,7.4
527,Ted,en,116.946,10369,6.4
528,Baywatch,en,113.225,6807,6.1
529,The Scientist,en,99.787,94,6.4
530,Willy's Wonderland,en,116.723,448,6.4
531,Need for Speed,en,106.622,3503,6.3
532,Escape the Undertaker,en,103.363,38,5.5
533,The Dark Knight Rises,en,113.375,18988,7.8
534,Sentinelle,fr,105.584,470,5.9
535,The Simpsons Movie,en,123.12,6595,7.0
536,Grown Ups 2,en,117.887,3326,6.1
537,Vanquish,en,101.478,183,5.8
538,Pirates of the Caribbean: The Curse of the Black Pearl,en,125.165,16985,7.8
539,Millonario sin amor,es,104.986,57,8.0
540,Below Zero,es,116.936,696,6.4
541,Sex with Love,es,128.099,176,6.5
542,From Straight A's to XXX,en,124.049,83,5.7
543,Jonah Hex,en,100.802,1132,4.9
544,Universal Soldier: Regeneration,en,110.551,328,5.6
545,Cars 3,en,112.551,4369,6.8
546,Fifty Shades Darker,en,114.26,6579,6.5
547,El refugio,es,97.727,44,6.3
548,Werewolves Within,en,109.029,247,6.2
549,Dawn of the Planet of the Apes,en,127.236,9279,7.3
550,Orphan,en,105.262,3952,6.9
551,Bad Trip,en,111.887,342,6.1
552,Terminator Genisys,en,120.86,7052,5.9
553,Dragon Ball Z: Cooler's Revenge,ja,110.321,457,6.9
554,Chappie,en,116.439,6688,6.8
555,In Time,en,102.96,9282,6.9
556,We Are Nothing,es,109.938,0,0.0
557,Maleficent: Mistress of Evil,en,108.92,4915,7.4
558,Special Forces,fr,116.465,414,6.7
559,Inglourious Basterds,en,117.956,18198,8.2
560,The Texas Chainsaw Massacre: The Beginning,en,107.951,1309,6.1
561,Mickey's Tale of Two Witches,tr,112.115,76,7.2
562,Untitled 'The Walking Dead' Film,en,108.921,0,0.0
563,Toy Story 3,en,125.872,12177,7.8
564,LEGO Star Wars Terrifying Tales,en,108.285,146,6.7
565,Finding Nemo,en,122.537,15980,7.8
566,Jackie Chan Kung Fu Master,zh,110.453,46,4.4
567,The Shack,en,111.303,1627,7.4
568,Captain Marvel,en,128.797,12627,6.9
569,Ponyo,ja,110.721,3099,7.7
570,Clash of the Titans,en,123.711,5178,5.8
571,We Can Be Heroes,en,112.182,569,6.3
572,The Incredibles,en,112.353,14826,7.7
573,We Bare Bears: The Movie,en,115.71,705,7.9
574,Angels & Demons,en,112.619,5651,6.7
575,The Exorcist,en,95.63,6103,7.7
576,The Hangover Part III,en,107.631,7206,6.2
577,Jumanji: The Next Level,en,114.448,6668,7.0
578,Dinosaur Hotel,en,105.371,49,5.3
579,Spencer,en,167.438,478,7.2
580,Maze Runner: The Death Cure,en,120.101,6245,7.1
581,Sex Tape,en,104.232,3567,5.4
582,A Nun's Curse,en,98.058,68,6.2
583,Dragon Ball Z: The World's Strongest,ja,108.624,356,6.4
584,Nobody Sleeps in the Woods Tonight,pl,101.528,418,5.0
585,Halo Legends,en,94.104,100,7.3
586,Guardians of the Galaxy Vol. 2,en,121.028,17844,7.6
587,Hotel Transylvania,en,103.717,7178,7.0
588,Tentacles,en,103.18,88,6.3
589,Fantastic Beasts: The Secrets of Dumbledore,en,105.068,0,0.0
590,Thunder Force,en,86.962,899,5.7
591,Candyman,en,117.348,765,6.2
592,Wrath of the Titans,en,102.572,3464,5.7
593,Parasite,ko,116.125,13088,8.5
594,Cell 211,es,113.237,938,7.5
595,Man of Steel,en,110.328,12847,6.6
596,Snow White and the Seven Dwarfs,en,103.858,6035,7.1
597,Long Story Short,en,87.695,92,7.0
598,Pirates of the Caribbean: At World's End,en,120.287,11692,7.2
599,Dragon Ball Z: Super Android 13!,ja,99.817,370,6.7
600,American Sniper,en,104.611,10860,7.4
601,The French Dispatch,en,108.02,1119,7.3
602,The Matrix,en,111.871,21017,8.2
603,Corpse Bride,en,104.365,6943,7.5
604,Deadpool 3,en,108.187,0,0.0
605,Cinderella,en,101.734,1013,6.6
606,Safer at Home,en,94.913,100,5.6
607,TEKKEN,en,99.078,534,5.4
608,17 Again,en,107.92,4224,6.3
609,Pirates of the Caribbean: Dead Man's Chest,en,118.382,13045,7.3
610,Annabelle Comes Home,en,99.343,2638,6.4
611,Wrong Turn 3: Left for Dead,en,113.531,807,5.6
612,Scary Movie,en,102.992,5321,6.3
613,Kingsman: The Golden Circle,en,115.339,8341,7.0
614,Zootopia,en,106.43,13654,7.7
615,Peçanha Contra o Animal,pt,96.893,27,5.7
616,District 9,en,100.625,7658,7.4
617,Naruto Shippuden the Movie: The Lost Tower,ja,106.37,280,7.0
618,The Hunger Games: Mockingjay - Part 1,en,123.922,13304,6.8
619,The Marco Effect,da,99.59,22,6.4
620,Bloodthirsty,en,98.355,23,5.9
621,Fear Street: 1666,en,96.431,1018,7.3
622,Incredibles 2,en,100.34,10689,7.5
623,Cars 2,en,102.179,6051,6.0
624,Jurassic World Dominion,en,86.477,0,0.0
625,Maze Runner: The Scorch Trials,en,122.869,8687,6.7
626,Kingsman: The Secret Service,en,112.267,13988,7.6
627,Confessions of an Invisible Girl,pt,90.625,139,7.0
628,Machine Gun Preacher,en,106.541,785,6.7
629,"tick, tick… BOOM!",en,153.633,945,7.9
630,Bad Boys for Life,en,116.673,6842,7.2
631,Butchers,en,92.042,135,5.0
632,Apocalypto,en,92.183,4245,7.5
633,The First Purge,en,90.383,3246,6.0
634,No Strings Attached,en,105.915,3926,6.3
635,Lucas,es,99.929,14,5.9
636,Dragon Ball Z: The Tree of Might,ja,97.657,403,6.5
637,Bound by Honor,en,90.382,864,8.1
638,Let's Be Cops,en,106.225,2279,6.4
639,The Twilight Saga: New Moon,en,108.513,7701,6.0
640,Mad Max: Fury Road,en,101.252,18978,7.5
641,Star Wars: The Rise of Skywalker,en,88.318,7501,6.5
642,Dragon Ball Z: Bojack Unbound,ja,93.58,398,7.0
643,Breathless,es,97.737,32,5.9
644,The Intouchables,fr,117.062,14301,8.3
645,The Grey,en,88.944,3139,6.6
646,A un paso de mí,es,98.494,47,6.9
647,Black Island,de,85.835,125,6.1
648,The Medium,th,79.354,233,7.1
649,Ride Your Wave,ja,108.277,183,7.5
650,Wrong Turn 2: Dead End,en,106.494,974,6.0
651,Crisis,en,85.29,178,6.5
652,Dear Evan Hansen,en,103.798,130,6.5
653,Batman: Death in the Family,en,103.246,303,7.2
654,New Gods: Nezha Reborn,zh,102.249,250,8.4
655,Unknown,en,110.615,3117,6.7
656,Sucker Punch,en,96.411,3869,6.1
657,Garfield,en,102.695,3091,5.6
658,The Good Dinosaur,en,100.669,4519,6.7
659,Stand by Me Doraemon,ja,91.792,333,7.3
660,Salt,en,93.778,4494,6.4
661,Pixels,en,107.065,6319,5.7
662,Benny Loves You,en,85.579,114,6.3
663,Insensate,pt,87.485,61,6.9
664,Wreck-It Ralph,en,117.506,10415,7.3
665,Sexo,en,119.171,13,5.2
666,Blitz,en,94.507,1251,6.1
667,Hotel Transylvania 2,en,100.494,4703,6.8
668,Tokyo Ghoul,ja,94.992,287,7.0
669,Fantastic Beasts: The Crimes of Grindelwald,en,93.857,8760,6.9
670,Alien: Covenant,en,103.401,6922,6.0
671,Those Who Wish Me Dead,en,99.398,1057,6.8
672,Alone,en,88.716,398,6.2
673,Aquaman,en,97.141,11404,6.9
674,Street Gang: How We Got to Sesame Street,en,122.253,11,7.5
675,Logan,en,96.01,16473,7.8
676,Fall in Love at First Kiss,zh,104.385,74,6.7
677,Fear of Rain,en,96.19,337,7.2
678,Upside-Down Magic,en,85.4,188,7.4
679,Penguins of Madagascar,en,98.172,3358,6.5
680,Red Shoes and the Seven Dwarfs,en,102.626,832,7.8
681,Warrior,en,105.257,3571,7.8
682,The Seventh Day,en,89.894,162,5.6
683,The Corpse of Anna Fritz,es,80.334,441,7.0
684,Skyline,en,89.012,1268,4.9
685,Rio,en,93.962,5399,6.7
686,Your Name,en,100.506,0,0.0
687,Batman v Superman: Dawn of Justice,en,102.842,15504,5.9
688,Aladdin,en,98.891,8357,7.1
689,Taken 2,en,92.226,5524,6.3
690,Chronicle,en,94.659,4250,6.8
691,Twist,en,86.75,129,6.1
692,Cherry,en,105.698,882,7.5
693,Kung Fu Panda,en,93.738,9074,7.2
694,The Flash,en,95.435,0,0.0
695,Pirates of the Caribbean: Dead Men Tell No Tales,en,104.573,9885,6.6
696,The Book of Life,en,84.31,2105,7.5
697,Prince of Persia: The Sands of Time,en,100.555,5670,6.2
698,Inside Out,en,102.726,17462,7.9
699,Vacation Friends,en,83.412,401,7.2
700,Transformers: The Last Knight,en,104.236,4841,6.0
701,Pinocchio,en,91.711,4727,7.1
702,Odd Thomas,en,84.509,965,6.9
703,Conan the Barbarian,en,93.002,1486,5.3
704,Despicable Me 2,en,109.135,9564,6.9
705,Shazam!,en,90.385,7276,7.1
706,Assassins,en,90.987,6,7.3
707,Saint Seiya Heaven Chapter: Overture,ja,93.949,189,7.7
708,Bad Lieutenant: Port of Call - New Orleans,en,86.39,840,6.1
709,Europa Report,en,81.41,1067,6.3
710,Barbie & Chelsea: The Lost Birthday,en,95.779,69,7.4
711,The Experiment,en,97.281,954,6.4
712,Superbad,en,97.316,5585,7.2
713,The Purge: Election Year,en,97.818,4387,6.4
714,Dragon Ball Z: The Return of Cooler,ja,85.36,403,6.6
715,Godmothered,en,92.338,463,6.9
716,La Casa,es,86.553,73,6.5
717,The Lion King II: Simba's Pride,en,101.328,3662,7.0
718,Green Lantern,en,95.057,6046,5.2
719,Kabaneri of the Iron Fortress: The Battle of Unato,ja,94.515,40,7.1
720,Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai,ja,87.446,13,6.8
721,Robin Robin,en,84.042,59,7.3
722,White Snake,zh,83.532,272,7.8
723,The Tax Collector,en,98.274,341,5.7
724,Undercover Wedding Crashers,es,80.999,31,6.0
725,Beauty and the Beast,en,111.882,8209,7.7
726,Porno,pt,108.577,45,4.3
727,Tú eres mi problema,es,86.382,39,7.4
728,I'm Not Ashamed,en,88.213,195,7.5
729,Star Wars: The Force Awakens,en,96.985,16669,7.3
730,Dragon Ball Super: Broly,ja,89.436,2172,7.8
731,Dinosaur,en,106.466,1950,6.5
732,Halo: Nightfall,en,78.914,102,7.0
733,Instructions for Su,es,76.467,76,7.9
734,Shrek the Third,en,106.874,7163,6.3
735,Up,en,108.368,16771,7.9
736,Breach,en,89.88,481,4.4
737,The Kissing Booth,en,99.51,6390,7.3
738,Fairy Tail: Dragon Cry,ja,91.754,349,6.6
739,Star Wars: The Last Jedi,en,91.003,12713,6.9
740,Despicable Me,en,100.029,12857,7.2
741,Cadaver,no,78.053,444,5.6
742,Insidious,en,89.662,5334,6.9
743,Dead Like Me: Life After Death,en,92.742,158,6.2
744,Cheese in the Trap,ko,92.728,51,6.7
745,Dragon Ball Z: Wrath of the Dragon,ja,93.637,487,7.2
746,Blended,en,86.289,2706,6.8
747,Madagascar,en,101.978,8883,6.9
748,The Predator,en,98.032,3642,5.6
749,Altered Carbon: Resleeved,ja,99.887,199,6.5
750,Zombieland,en,100.558,10125,7.3
751,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,111.984,8396,7.1
752,Brothers by Blood,en,91.122,101,5.9
753,No Manches Frida,es,94.772,615,7.8
754,Ghost Rider: Spirit of Vengeance,en,94.057,3025,5.0
755,Justice Society: World War II,en,92.832,370,7.7
756,Scary Movie 5,en,89.462,2253,4.8
757,Ant-Man,en,97.132,16689,7.1
758,Stay Out of the Attic,en,78.266,50,5.9
759,Away,en,83.003,54,6.4
760,1000 Miles From Christmas,es,92.132,61,6.3
761,Ghostbusters,en,84.386,5358,5.4
762,The Warrior's Way,en,80.422,428,6.6
763,Morbius,en,87.58,0,0.0
764,Pacific Rim: Uprising,en,92.376,3885,6.1
765,White Chicks,en,86.358,2820,6.9
766,Hansel & Gretel: Witch Hunters,en,88.859,5774,6.0
767,22 Bullets,fr,83.101,941,6.6
768,Underworld: Awakening,en,92.944,3409,6.3
769,Sanctum,en,91.835,796,5.9
770,The Match,en,86.898,16,6.0
771,Lolita,en,114.331,1234,7.1
772,Monsters University,en,97.074,8834,7.0
773,Ant-Man and the Wasp,en,87.077,10777,7.0
774,Descarrilados,es,74.944,26,5.1
775,La Cantera,es,85.554,1,2.0
776,Five Feet Apart,en,89.748,4632,8.3
777,Knock Knock,en,107.73,2413,5.3
778,Saint Seiya: Legend of Sanctuary,ja,90.726,517,6.4
779,Secret Society of Second Born Royals,en,90.204,417,6.8
780,12 Rounds,en,81.978,589,5.9
781,Pain & Gain,en,88.9,3631,6.2
782,The Day Naruto Became Hokage,ja,98.693,172,7.6
783,Jack Reacher,en,90.431,5607,6.5
784,Paul,en,85.124,4628,6.7
785,The Larva Island Movie,en,92.941,139,7.4
786,X-Men: Days of Future Past,en,94.342,13111,7.5
787,100% Wolf,en,91.649,216,5.9
788,A Whisker Away,ja,86.634,933,8.0
789,The Dinosaur Project,en,76.105,199,5.4
790,Maleficent,en,90.8,11427,7.1
791,The Angry Birds Movie 2,en,98.499,1221,7.2
792,John Wick: Chapter 4,en,86.117,0,0.0
793,Men in Black 3,en,92.582,8688,6.5
794,Season of the Witch,en,90.781,1970,5.4
795,America: The Motion Picture,en,82.091,146,5.8
796,The Grandmother,es,88.74,6,6.9
797,Tarzan,en,91.734,5458,7.4
798,Under Wraps,en,81.345,49,6.8
799,Limitless,en,91.224,8800,7.2
800,A Bug's Life,en,94.017,7465,7.0
801,Bruised,en,73.327,264,7.0
802,The Croods,en,93.352,5833,6.9
803,Baba Yaga: Terror of the Dark Forest,ru,91.92,172,6.0
804,Brother Bear,en,108.941,4403,7.2
805,Ralph Breaks the Internet,en,92.489,6041,7.2
806,Naruto Shippuden the Movie: The Will of Fire,ja,100.176,291,7.2
807,House of Wax,en,88.861,2307,5.9
808,Beverly Hills Chihuahua,en,79.352,832,5.3
809,The Banishing,en,77.014,54,5.5
810,Hitman: Agent 47,en,94.283,2463,5.8
811,Confessions of a Shopaholic,en,76.829,2248,6.4
812,Avatar 2,en,82.388,0,0.0
813,Resort to Love,en,86.389,294,7.4
814,Naruto to Boruto: The Live 2019,ja,92.943,20,6.6
815,The King's Avatar: For the Glory,zh,96.622,18,6.9
816,Super 8,en,87.746,5549,6.7
817,The Passion of the Christ,en,95.285,3262,7.4
818,Being the Ricardos,en,129.152,222,6.6
819,Life in a Year,en,93.02,947,8.4
820,I Want to Eat Your Pancreas,ja,91.378,926,8.3
821,An Interview with God,en,79.724,193,7.1
822,Thinking XXX,en,90.569,71,5.0
823,The Emperor's New Groove,en,100.529,5317,7.5
824,Fat Ass Zombies,en,88.966,43,4.8
825,Shanghai Fortress,zh,87.599,81,5.6
826,Just Say Yes,nl,75.188,168,6.7
827,Trolls World Tour,en,89.793,1708,7.4
828,Shrek Forever After,en,87.269,5782,6.3
829,The New Mutants,en,82.095,2532,6.3
830,Despicable Me 3,en,85.442,5854,6.4
831,Halo: Landfall,en,77.166,19,5.9
832,The Mortal Instruments: City of Bones,en,80.091,3951,6.4
833,The Princess and the Frog,en,93.659,4304,7.1
834,Spider-Man 2,en,85.875,12203,7.2
835,One Piece Film: Z,ja,93.303,370,7.5
836,The Purge,en,77.886,7047,6.3
837,City Under Siege,cn,79.697,39,4.9
838,The A-Team,en,85.513,3786,6.4
839,Meet Joe Black,en,100.701,3756,7.2
840,Beverly Hills Chihuahua 3: Viva la Fiesta!,en,86.499,196,6.3
841,The Equalizer,en,83.996,7040,7.2
842,The Human Centipede (First Sequence),en,116.241,1632,5.2
843,Containment,en,65.733,143,6.0
844,The Hand of God,it,96.716,915,7.8
845,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,ja,83.935,155,7.8
846,Terminator: Dark Fate,en,94.189,3905,6.5
847,Bambi,en,99.61,4588,7.0
848,No Sudden Move,en,90.978,361,6.4
849,Looking Back at it All: The Dragon Ball Z Year-End Show!,ja,78.623,23,7.0
850,Together Together,en,75.234,68,6.9
851,The Grinch,en,94.691,2889,6.8
852,John Wick,en,77.291,15302,7.4
853,HK: Hentai Kamen 2 - Abnormal Crisis,ja,79.32,47,6.5
854,Star Wars,en,97.601,16668,8.2
855,A Classic Horror Story,it,69.989,594,6.0
856,Skyfall,en,87.004,13228,7.2
857,The Sorcerer and the White Snake,zh,88.141,182,6.2
858,A Quiet Place,en,91.388,11259,7.4
859,Operation Merry Christmas: The Elf Con,es,75.629,23,7.4
860,Hidden Figures,en,82.228,7481,8.1
861,TRON: Legacy,en,90.547,5868,6.4
862,Stan Helsing,en,82.293,357,4.3
863,Shutter Island,en,75.579,19342,8.2
864,Saw,en,85.722,7193,7.4
865,Sicario,en,91.975,6725,7.4
866,50 Greatest Harry Potter Moments,en,81.51,48,8.2
867,The Little Things,en,92.045,1463,6.4
868,The Secret Life of Pets 2,en,87.013,2397,7.0
869,The Dark Knight,en,86.841,26791,8.5
870,Spirited Away,ja,91.185,12403,8.5
871,White House Down,en,88.784,3921,6.4
872,Yes Man,en,77.974,5476,6.6
873,101 Dalmatians,en,92.205,2742,5.9
874,Corpus Christi,pl,75.205,362,7.8
875,Women,en,78.304,17,6.0
876,Sugar Daddy,en,71.923,21,6.4
877,The Medium,en,63.627,5,4.4
878,I Am Legend,en,89.165,12949,7.2
879,Kids Are Back,fr,75.647,39,5.1
880,Child's Play,en,79.944,2116,6.6
881,Money Heist: The Phenomenon,es,85.196,961,7.5
882,Fifty Shades of Black,en,85.119,1129,4.9
883,The Voyeurs,en,86.723,368,6.8
884,CODA,en,127.344,484,8.2
885,Creed,en,78.07,5802,7.4
886,Hercules,en,104.458,6008,7.5
887,The Mask,en,69.197,8165,6.9
888,The SpongeBob SquarePants Movie,en,78.755,2212,6.9
889,Dragon Ball Z Special 9 - Future Trunks Special,ja,86.492,98,7.6
890,Godzilla: King of the Monsters,en,95.203,4643,6.7
891,xXx: Return of Xander Cage,en,90.291,5253,5.8
892,Beauty and the Beast,en,85.882,13927,7.0
893,Believe Me: The Abduction of Lisa McVey,en,87.468,300,8.2
894,Cencoroll Connect,ja,70.058,10,7.1
895,Bride of Chucky,en,80.985,1357,5.9
896,Suicide Squad,en,86.163,18445,5.9
897,Wonder Woman,en,85.438,17350,7.3
898,Here Today,en,69.917,88,7.3
899,Single All the Way,en,79.633,225,6.5
900,The Godfather,en,83.034,15454,8.7
901,Total Recall,en,74.667,4570,6.0
902,Star Trek,en,81.445,8371,7.4
903,Aftermath,en,83.39,388,6.5
904,Kung Fu Panda 3,en,78.895,4525,6.9
905,The Great Wall,en,71.343,4164,5.9
906,Wild Card,en,80.326,1422,5.6
907,Xico's Journey,es,76.136,83,6.8
908,Tune in for Love,ko,85.574,176,7.9
909,Divergent,en,88.639,11035,6.9
910,Red Dot,sv,78.096,569,5.9
911,Lockout,en,70.292,1486,5.9
912,Dog Years,it,92.368,82,6.2
913,22 Jump Street,en,82.788,6758,6.8
914,Intrusion,en,70.916,389,6.1
915,The Mad Hatter,en,70.479,47,5.8
916,Titane,fr,100.951,564,6.5
917,Batman Begins,en,85.652,17201,7.7
918,Now You See Me,en,75.3,13389,7.4
919,Drive,en,77.824,10072,7.6
920,Kung Fu Panda 2,en,76.115,5411,6.9
921,The Nightmare Before Christmas,en,76.653,7328,7.8
922,Howl's Moving Castle,ja,78.938,7059,8.4
923,Finding Grace,en,69.908,15,6.3
924,Brave,en,85.076,11275,7.0
925,God's Not Dead: A Light in Darkness,en,83.126,141,6.9
926,Dragon Ball Z: Lord Slug,ja,82.161,379,6.3
927,Deep,th,72.193,65,6.4
928,Revolution: Los Polinesios,es,72.774,2,4.3
929,Zog and the Flying Doctors,en,71.822,13,7.1
930,Slate,ko,78.073,6,5.5
931,Rambo: Last Blood,en,84.621,2925,6.5
932,The Kids Are Alright: Destination Asturias,es,66.125,40,4.8
933,Maquia: When the Promised Flower Blooms,ja,80.791,424,8.3
934,Exodus: Gods and Kings,en,85.519,3850,5.8
935,The Human Centipede 2 (Full Sequence),en,108.322,992,4.8
936,The Remaining,en,84.816,250,5.5
937,Brian Banks,en,64.821,123,7.3
938,"Happy Halloween, Scooby-Doo!",en,82.674,179,8.0
939,Over the Moon,en,72.322,1021,7.4
940,Crystal Skulls,en,67.104,20,4.8
941,"Curious George: Go West, Go Wild",en,86.296,84,6.2
942,Attack on Titan II: End of the World,ja,89.234,210,5.8
943,Deep Blue Sea 3,en,67.007,194,6.0
944,Lilo & Stitch,en,95.52,4855,7.5
945,The Forgotten Battle,nl,73.091,333,7.2
946,Viking Quest,en,79.426,24,4.6
947,Blade Runner 2049,en,84.258,10406,7.5
948,Phineas and Ferb: The Movie: Candace Against the Universe,en,84.379,283,7.5
949,How to Train Your Dragon 2,en,85.358,7904,7.7
950,The Princess Switch 3: Romancing the Star,en,83.356,268,7.0
951,Overcomer,en,84.184,173,7.8
952,Barbie: Princess Adventure,en,84.446,181,7.4
953,Split,en,80.912,14658,7.3
954,10.0 Earthquake,en,74.238,86,4.8
955,A Walk Among the Tombstones,en,69.722,2330,6.3
956,Godzilla,en,74.537,7416,6.3
957,Blood Red Sky,de,72.169,1055,7.1
958,Lucy,en,82.672,13805,6.4
959,Cowboys & Aliens,en,74.113,4207,5.6
960,Rambo,en,74.335,2936,6.6
961,The Texas Chain Saw Massacre,en,84.026,2215,7.3
962,War of Likes,es,70.625,224,7.8
963,A Haunted House,en,84.82,1378,5.7
964,Texas Chainsaw 3D,en,85.059,1209,5.5
965,One Hundred and One Dalmatians,en,82.246,5130,7.2
966,Dumbo,en,83.995,4036,7.0
967,Annabelle: Creation,en,70.543,4627,6.6
968,Captain America: The Winter Soldier,en,75.007,15685,7.7
969,The Jungle Book,en,83.69,5158,7.3
970,The Other Guys,en,71.987,3292,6.3
971,Creed II,en,88.697,4069,6.9
972,The Incredible Hulk,en,100.115,9474,6.2
973,Cars,en,75.856,11308,6.9
974,Miss Peregrine's Home for Peculiar Children,en,83.854,8533,6.8
975,The Curse of La Llorona,en,71.947,1838,5.7
976,Wrong Turn 4: Bloody Beginnings,en,83.929,769,5.7
977,How to Train Your Dragon: The Hidden World,en,84.425,4948,7.8
978,Black Fox,ja,77.983,20,7.0
979,Go! Go! Cory Carson: Chrissy Takes the Wheel,en,69.925,13,6.0
